Fecha,Producto,Total
14/06/2026,Gorra,52.22
10/05/2026,Camiseta,99.98
16/05/2026,Pantalón,73.27
07/07/2026,Gorra,12.2
28/06/2026,Zapatos,15.82
15/05/2026,Chompa,55.55
15/07/2026,Camiseta,114.11
23/07/2026,Chompa,114.14
16/07/2026,Chompa,52.43
01/06/2026,Camiseta,70.35
21/05/2026,Pantalón,54.94
12/07/2026,Camiseta,71.94
14/07/2026,Gorra,19.54
16/07/2026,Gorra,49.71
13/07/2026,Camiseta,71.21
22/07/2026,Gorra,63.6
11/07/2026,Zapatos,95.05
02/07/2026,Chompa,111.43
19/06/2026,Pantalón,35.82
27/05/2026,Gorra,17.17
11/06/2026,Chompa,63.45
16/06/2026,Zapatos,40.25
13/05/2026,Camiseta,65.34
25/05/2026,Pantalón,25.02
05/07/2026,Zapatos,12.39
13/05/2026,Chompa,72.18
13/06/2026,Pantalón,85.87
19/07/2026,Zapatos,72.95
01/07/2026,Camiseta,102.08
07/06/2026,Zapatos,86.07
12/05/2026,Camiseta,89.89
12/06/2026,Chompa,119.23
30/06/2026,Pantalón,88.26
17/06/2026,Camiseta,113.35
18/06/2026,Gorra,76.42
06/07/2026,Camiseta,32.44
09/06/2026,Gorra,90.7
23/06/2026,Zapatos,110.68
06/07/2026,Camiseta,26.63
24/06/2026,Chompa,39.12
21/05/2026,Zapatos,104.77
08/06/2026,Zapatos,118.48
21/06/2026,Gorra,24.9
26/05/2026,Gorra,33.98
02/06/2026,Camiseta,62.32
18/07/2026,Gorra,37.43
04/05/2026,Gorra,54.92
20/06/2026,Chompa,71.43
20/05/2026,Chompa,114.43
10/05/2026,Zapatos,108.75
14/07/2026,Zapatos,52.58
23/06/2026,Camiseta,61.93
24/06/2026,Camiseta,29.35
30/05/2026,Zapatos,26.18
16/06/2026,Chompa,13.89
04/05/2026,Chompa,24.94
16/05/2026,Pantalón,76.74
13/05/2026,Gorra,76.78
23/05/2026,Pantalón,115.01
20/07/2026,Pantalón,61.1
18/05/2026,Zapatos,119.23
02/07/2026,Zapatos,62.19
14/05/2026,Gorra,19.45
16/06/2026,Pantalón,61.61
24/05/2026,Chompa,10.59
10/07/2026,Pantalón,24.42
12/07/2026,Camiseta,92.91
11/06/2026,Camiseta,85.97
06/06/2026,Chompa,49.07
25/05/2026,Pantalón,94.46
11/07/2026,Chompa,95.25
15/06/2026,Gorra,76.68
28/05/2026,Gorra,99.65
02/06/2026,Gorra,65.98
18/06/2026,Camiseta,118.84
08/06/2026,Zapatos,37.03
20/07/2026,Pantalón,58.09
17/06/2026,Pantalón,17.02
17/05/2026,Gorra,60.65
16/06/2026,Gorra,62.06
21/07/2026,Camiseta,61.7
17/06/2026,Camiseta,101.48
19/05/2026,Zapatos,95.62
29/05/2026,Zapatos,107.57
28/06/2026,Pantalón,17.72
23/06/2026,Zapatos,52.96
14/05/2026,Gorra,27.04
20/05/2026,Camiseta,24.93
02/07/2026,Gorra,76.5
19/07/2026,Zapatos,81.61
17/06/2026,Gorra,69.45
20/05/2026,Camiseta,9.6
17/05/2026,Chompa,91.94
21/05/2026,Zapatos,118.49
28/05/2026,Gorra,11.14
31/05/2026,Pantalón,64.13
18/07/2026,Pantalón,37.05
26/06/2026,Gorra,14.82
18/06/2026,Zapatos,82.2
